team_nr,2026tuis,2026tuis4,team_name,country,start_stats,pre_champs_stats,max_stats,epa_total_points,epa_auto_points,epa_teleop_points,epa_endgame_points,opr_first_event
2905,0,1,Sultans of Turkiye,Türkiye,26.11,16.74,19.02,17.46,4.09,10.67,2.7,12.46
3646,1,0,INTEGRA BAHCESEHIR,Türkiye,17.6,23.52,24.06,5.08,2.13,0.99,1.97,1.86
4191,1,0,IMC,Türkiye,11.4,8.4,8.4,8.4,0.61,4.6,3.19,5.86
4481,1,1,Team Rembrandts,Netherlands,45.49,79.11,81.63,65.44,13.88,46.17,5.38,72.24
4613,1,0,Barker Redbacks,Australia,47.88,59.74,68.72,61.23,13.95,35.41,11.86,59.92
5553,0,1,Robo'Lyon,France,25.35,20.01,28.17,20.01,1.61,16.45,1.95,14.54
5883,1,0,Spice Gears,Poland,25.61,16.78,17.83,16.78,4.05,12.17,0.56,15.54
6014,0,1,ARC,Türkiye,21.21,22.65,25.98,22.65,6.01,13.48,3.16,21.86
6064,1,0,IstanBULLS,Türkiye,20.22,6.57,6.57,6.57,2.95,3.33,0.29,2.85
6232,0,1,Florya Bisons,Türkiye,18.8,12.18,12.18,12.18,1.47,7.51,3.2,9.83
6417,0,1,Fridolins,Switzerland,25.31,32.17,32.42,27.97,6.54,15.35,6.07,26.74
6431,1,1,NoktaParantez,Türkiye,10.7,40.84,44.48,30.56,3.78,26.13,0.65,45.49
6436,1,0,PARS ROBOTICS,Türkiye,23.12,31.99,38.73,31.99,10.61,18.38,2.99,37.04
6988,0,1,ACI35,Türkiye,10.87,10.79,10.79,10.79,3.34,5.93,1.52,11.19
6989,0,1,KAISER,Türkiye,23.24,23.0,32.55,19.56,3.9,13.07,2.59,13.42
7296,1,0,TeRoBoT,Türkiye,14.57,9.41,9.41,9.41,3.18,6.46,-0.23,5.21
7444,0,1,MOON STAR ROBOTICS,Türkiye,28.65,38.73,42.03,38.73,10.08,26.3,2.34,39.21
7576,0,1,FMWill,Türkiye,24.3,30.21,30.32,25.66,4.53,19.9,1.23,21.8
7611,1,0,Amal Hawks Robotics,Türkiye,15.29,17.34,19.49,4.74,2.06,1.5,1.18,1.69
7632,0,1,An Kang Robotics Maker,Chinese Taipei,28.3,57.96,68.24,44.92,10.12,32.7,2.1,52.79
7742,0,1,Cosmos Robot Works,Türkiye,16.85,14.2,14.2,10.42,3.22,6.69,0.51,5.08
8042,0,1,Fenrir,Türkiye,18.42,14.58,15.5,14.58,3.56,9.05,1.96,14.06
8058,0,1,IEL ROBOTICS,Türkiye,18.11,11.91,11.91,10.43,2.38,6.47,1.58,15.01
8079,0,1,River Robotics Team,Türkiye,,,,,,,,
8084,0,1,ALFA ROBOTICS,Türkiye,24.92,27.2,28.19,27.2,4.86,20.97,1.37,27.81
8151,0,1,Wildfire,Türkiye,9.53,12.71,12.95,11.8,5.29,5.24,1.27,20.93
8153,1,0,Tech4Peace,Türkiye,15.66,23.48,23.64,23.48,5.41,16.91,1.17,29.49
8169,0,1,Aries,Chinese Taipei,24.25,29.41,29.74,29.41,4.58,24.39,0.44,28.91
8173,0,1,Brighton College Gear Zero,United Kingdom,15.17,13.45,14.0,7.33,3.19,3.33,0.82,-0.18
8242,1,0,Tekno NFL,Türkiye,18.04,10.99,10.99,10.99,2.3,7.61,1.08,15.1
8557,1,0,ConquEra,Türkiye,22.14,26.81,26.81,23.94,4.66,16.99,2.28,26.23
8584,0,1,Infinity Robotics,Chinese Taipei,16.97,19.21,21.1,16.97,4.1,9.46,3.41,16.26
8613,0,1,Barker Greybacks,Australia,30.04,45.41,50.19,48.01,9.82,32.75,5.43,50.41
8725,0,1,MistyPanther,Chinese Taipei,28.76,39.96,42.19,39.96,5.79,30.72,3.45,43.65
8759,0,1,ARPEX,Türkiye,17.46,5.85,5.85,5.85,1.04,4.78,0.03,-1.17
9029,1,0,Team NF,Türkiye,12.02,30.21,38.2,30.21,8.78,19.95,1.48,46.57
9077,1,0,The Crown,Türkiye,19.19,23.85,36.75,11.67,3.57,6.39,1.72,11.91
9079,0,1,Mechanic  storm,Chinese Taipei,20.63,22.65,23.94,22.65,3.6,13.45,5.6,28.49
9102,0,1,CyborgBulls,France,20.71,16.27,17.91,16.27,3.43,10.71,2.14,17.44
9132,1,0,Basaksehir Teknoloji Takımı,Türkiye,,,,,,,,
9232,1,0,IBBTECH,Türkiye,19.84,17.32,19.45,15.73,4.04,11.35,0.34,17.79
9233,1,0,Luminous Robotics Team,Türkiye,21.09,31.89,31.89,31.89,4.35,26.93,0.62,45.54
9427,0,1,iDeer,Chinese Taipei,18.78,41.41,43.54,40.19,11.37,28.49,0.32,45.96
9483,1,0,İstanbul Wildcats,Türkiye,41.49,71.86,83.99,70.6,17.61,46.99,5.99,61.74
9519,0,1,RoboMasters,Türkiye,18.41,30.51,31.14,30.51,8.22,18.24,4.05,43.59
9583,1,0,Lavender Robotics,Türkiye,17.73,15.3,23.8,13.71,5.31,6.27,2.13,15.42
9595,1,0,ECHO,Türkiye,,,,,,,,
9601,1,1,BageTech,Türkiye,15.31,7.86,7.86,5.06,1.35,3.4,0.31,5.48
10043,1,0,Conscius Robotics,Türkiye,18.04,7.71,9.07,7.71,2.1,4.61,1.01,6.92
10050,1,0,Sea Dragons,Türkiye,18.04,4.72,4.72,4.72,-0.14,3.3,1.56,6.48
10064,1,1,HanniBAL,Türkiye,18.04,10.81,15.07,10.97,2.42,7.05,1.5,10.99
10141,1,0,Turing Robotics,Türkiye,18.04,9.4,9.4,9.4,3.98,3.29,2.13,17.57
10146,1,0,Elbis Robotics,Türkiye,,,,,,,,
10216,0,1,QUANTUMBEE,Türkiye,18.04,17.08,18.78,17.08,4.41,9.65,3.01,17.83
10230,1,1,The Splash,Türkiye,18.04,7.95,7.95,2.33,1.23,-0.88,1.97,1.85
10261,1,0,PYRONEERS,Greece,18.04,11.63,11.63,11.63,2.13,7.49,2.0,8.19
10308,1,0,HiveMind,Türkiye,18.04,16.69,16.69,16.69,5.03,9.68,1.98,15.14
10396,0,1,Mostra,Türkiye,18.04,26.05,26.05,17.5,5.35,11.09,1.06,12.83
10428,1,0,KAIZEN,India,18.04,41.15,42.16,37.04,10.88,24.23,1.93,56.68
10907,0,1,ROBOLYNX,Türkiye,,,,,,,,
10998,1,0,VOLTARIA ROBOTICS,Türkiye,,,,,,,,
11000,1,0,NEOCHIRON,Türkiye,,,,,,,,
11010,0,1,Bobcats,Türkiye,,,,,,,,
11036,1,0,ALEV ROBOTICS,Türkiye,,,,,,,,
11244,1,0,Avrasya Robotics,Türkiye,,,,,,,,
11281,1,0,Phoenix Robotics,Türkiye,,,,,,,,
11300,0,1,ZENITH,Türkiye,,,,,,,,
11416,1,0,Raptoris Robotics,Türkiye,,,,,,,,
11453,1,0,FutureX Robotics,Türkiye,,,,,,,,
